# Rectangular 40x12 array, d=0.5lambda at 3 GHz (Gabrielyan et al., JRE 12/2012)
# Columns: x_m, y_m, amplitude_db
x_m,y_m,amplitude_db
-0.4750,0.1750,0.0
-0.4750,0.2250,0.0
-0.4750,0.2750,0.0
-0.4250,-0.2750,0.0
-0.4250,-0.2250,0.0
-0.4250,-0.1750,0.0
-0.4250,-0.1250,0.0
-0.4250,-0.0750,0.0
-0.4250,-0.0250,0.0
-0.4250,0.0250,0.0
-0.4250,0.0750,0.0
-0.4250,0.1250,0.0
-0.4250,0.1750,0.0
-0.4250,0.2250,0.0
-0.4250,0.2750,0.0
-0.3750,-0.2750,0.0
-0.3750,-0.2250,0.0
-0.3750,-0.1750,0.0
-0.3750,-0.1250,0.0
-0.3750,-0.0750,0.0
-0.3750,-0.0250,0.0
-0.3750,0.0250,0.0
-0.3750,0.0750,0.0
-0.3750,0.1250,0.0
-0.3750,0.1750,0.0
-0.3750,0.2250,0.0
-0.3750,0.2750,0.0
-0.3250,-0.2750,0.0
-0.3250,-0.2250,0.0
-0.3250,-0.1750,0.0
-0.3250,-0.1250,0.0
-0.3250,-0.0750,0.0
-0.3250,-0.0250,0.0
-0.3250,0.0250,0.0
-0.3250,0.0750,0.0
-0.3250,0.1250,0.0
-0.3250,0.1750,0.0
-0.3250,0.2250,0.0
-0.3250,0.2750,0.0
-0.2750,-0.2750,0.0
-0.2750,-0.2250,0.0
-0.2750,-0.1750,0.0
-0.2750,-0.1250,0.0
-0.2750,-0.0750,0.0
-0.2750,-0.0250,0.0
-0.2750,0.0250,0.0
-0.2750,0.0750,0.0
-0.2750,0.1250,0.0
-0.2750,0.1750,0.0
-0.2750,0.2250,0.0
-0.2750,0.2750,0.0
-0.2250,-0.2750,0.0
-0.2250,-0.2250,0.0
-0.2250,-0.1750,0.0
-0.2250,-0.1250,0.0
-0.2250,-0.0750,0.0
-0.2250,-0.0250,0.0
-0.2250,0.0250,0.0
-0.2250,0.0750,0.0
-0.2250,0.1250,0.0
-0.2250,0.1750,0.0
-0.2250,0.2250,0.0
-0.2250,0.2750,0.0
-0.1750,-0.2750,0.0
-0.1750,-0.2250,0.0
-0.1750,-0.1750,0.0
-0.1750,-0.1250,0.0
-0.1750,-0.0750,0.0
-0.1750,-0.0250,0.0
-0.1750,0.0250,0.0
-0.1750,0.0750,0.0
-0.1750,0.1250,0.0
-0.1750,0.1750,0.0
-0.1750,0.2250,0.0
-0.1750,0.2750,0.0
-0.1250,-0.2750,0.0
-0.1250,-0.2250,0.0
-0.1250,-0.1750,0.0
-0.1250,-0.1250,0.0
-0.1250,-0.0750,0.0
-0.1250,-0.0250,0.0
-0.1250,0.0250,0.0
-0.1250,0.0750,0.0
-0.1250,0.1250,0.0
-0.1250,0.1750,0.0
-0.1250,0.2250,0.0
-0.1250,0.2750,0.0
-0.0750,-0.2750,0.0
-0.0750,-0.2250,0.0
-0.0750,-0.1750,0.0
-0.0750,-0.1250,0.0
-0.0750,-0.0750,0.0
-0.0750,-0.0250,0.0
-0.0750,0.0250,0.0
-0.0750,0.0750,0.0
-0.0750,0.1250,0.0
-0.0750,0.1750,0.0
-0.0750,0.2250,0.0
-0.0750,0.2750,0.0
-0.0250,-0.2750,0.0
-0.0250,-0.2250,0.0
-0.0250,-0.1750,0.0
-0.0250,-0.1250,0.0
-0.0250,-0.0750,0.0
-0.0250,-0.0250,0.0
-0.0250,0.0250,0.0
-0.0250,0.0750,0.0
-0.0250,0.1250,0.0
-0.0250,0.1750,0.0
-0.0250,0.2250,0.0
-0.0250,0.2750,0.0
0.0250,-0.2750,0.0
0.0250,-0.2250,0.0
0.0250,-0.1750,0.0
0.0250,-0.1250,0.0
0.0250,-0.0750,0.0
0.0250,-0.0250,0.0
0.0250,0.0250,0.0
0.0250,0.0750,0.0
0.0250,0.1250,0.0
0.0250,0.1750,0.0
0.0250,0.2250,0.0
0.0250,0.2750,0.0
0.0750,-0.2750,0.0
0.0750,-0.2250,0.0
0.0750,-0.1750,0.0
0.0750,-0.1250,0.0
0.0750,-0.0750,0.0
0.0750,-0.0250,0.0
0.0750,0.0250,0.0
0.0750,0.0750,0.0
0.0750,0.1250,0.0
0.0750,0.1750,0.0
0.0750,0.2250,0.0
0.0750,0.2750,0.0
0.1250,-0.2750,0.0
0.1250,-0.2250,0.0
0.1250,-0.1750,0.0
0.1250,-0.1250,0.0
0.1250,-0.0750,0.0
0.1250,-0.0250,0.0
0.1250,0.0250,0.0
0.1250,0.0750,0.0
0.1250,0.1250,0.0
0.1250,0.1750,0.0
0.1250,0.2250,0.0
0.1250,0.2750,0.0
0.1750,-0.2750,0.0
0.1750,-0.2250,0.0
0.1750,-0.1750,0.0
0.1750,-0.1250,0.0
0.1750,-0.0750,0.0
0.1750,-0.0250,0.0
0.1750,0.0250,0.0
0.1750,0.0750,0.0
0.1750,0.1250,0.0
0.1750,0.1750,0.0
0.1750,0.2250,0.0
0.1750,0.2750,0.0
0.2250,-0.2750,0.0
0.2250,-0.2250,0.0
0.2250,-0.1750,0.0
0.2250,-0.1250,0.0
0.2250,-0.0750,0.0
0.2250,-0.0250,0.0
0.2250,0.0250,0.0
0.2250,0.0750,0.0
0.2250,0.1250,0.0
0.2250,0.1750,0.0
0.2250,0.2250,0.0
0.2250,0.2750,0.0
0.2750,-0.2750,0.0
0.2750,-0.2250,0.0
0.2750,-0.1750,0.0
0.2750,-0.1250,0.0
0.2750,-0.0750,0.0
0.2750,-0.0250,0.0
0.2750,0.0250,0.0
0.2750,0.0750,0.0
0.2750,0.1250,0.0
0.2750,0.1750,0.0
0.2750,0.2250,0.0
0.2750,0.2750,0.0
0.3250,-0.2750,0.0
0.3250,-0.2250,0.0
0.3250,-0.1750,0.0
0.3250,-0.1250,0.0
0.3250,-0.0750,0.0
0.3250,-0.0250,0.0
0.3250,0.0250,0.0
0.3250,0.0750,0.0
0.3250,0.1250,0.0
0.3250,0.1750,0.0
0.3250,0.2250,0.0
0.3250,0.2750,0.0
0.3750,-0.2750,0.0
0.3750,-0.2250,0.0
0.3750,-0.1750,0.0
0.3750,-0.1250,0.0
0.3750,-0.0750,0.0
0.3750,-0.0250,0.0
0.3750,0.0250,0.0
0.3750,0.0750,0.0
0.3750,0.1250,0.0
0.3750,0.1750,0.0
0.3750,0.2250,0.0
0.3750,0.2750,0.0
0.4250,-0.2750,0.0
0.4250,-0.2250,0.0
0.4250,-0.1750,0.0
0.4250,-0.1250,0.0
0.4250,-0.0750,0.0
0.4250,-0.0250,0.0
0.4250,0.0250,0.0
0.4250,0.0750,0.0
0.4250,0.1250,0.0
0.4250,0.1750,0.0
0.4250,0.2250,0.0
0.4250,0.2750,0.0
0.4750,-0.2750,0.0
0.4750,-0.2250,0.0
0.4750,-0.1750,0.0
0.4750,-0.1250,0.0
0.4750,-0.0750,0.0
0.4750,-0.0250,0.0
0.4750,0.0250,0.0
0.4750,0.0750,0.0
0.4750,0.1250,0.0
0.4750,0.1750,0.0
0.4750,0.2250,0.0
0.4750,0.2750,0.0
0.5250,-0.2750,0.0
0.5250,-0.2250,0.0
0.5250,-0.1750,0.0
0.5250,-0.1250,0.0
0.5250,-0.0750,0.0
0.5250,-0.0250,0.0
0.5250,0.0250,0.0
0.5250,0.0750,0.0
0.5250,0.1250,0.0
0.5250,0.1750,0.0
0.5250,0.2250,0.0
0.5250,0.2750,0.0
0.5750,-0.2750,0.0
0.5750,-0.2250,0.0
0.5750,-0.1750,0.0
0.5750,-0.1250,0.0
0.5750,-0.0750,0.0
0.5750,-0.0250,0.0
0.5750,0.0250,0.0
0.5750,0.0750,0.0
0.5750,0.1250,0.0
0.5750,0.1750,0.0
0.5750,0.2250,0.0
0.5750,0.2750,0.0
0.6250,-0.2750,0.0
0.6250,-0.2250,0.0
0.6250,-0.1750,0.0
0.6250,-0.1250,0.0
0.6250,-0.0750,0.0
0.6250,-0.0250,0.0
0.6250,0.0250,0.0
0.6250,0.0750,0.0
0.6250,0.1250,0.0
0.6250,0.1750,0.0
0.6250,0.2250,0.0
0.6250,0.2750,0.0
0.6750,-0.2750,0.0
0.6750,-0.2250,0.0
0.6750,-0.1750,0.0
0.6750,-0.1250,0.0
0.6750,-0.0750,0.0
0.6750,-0.0250,0.0
0.6750,0.0250,0.0
0.6750,0.0750,0.0
0.6750,0.1250,0.0
0.6750,0.1750,0.0
0.6750,0.2250,0.0
0.6750,0.2750,0.0
0.7250,-0.2750,0.0
0.7250,-0.2250,0.0
0.7250,-0.1750,0.0
0.7250,-0.1250,0.0
0.7250,-0.0750,0.0
0.7250,-0.0250,0.0
0.7250,0.0250,0.0
0.7250,0.0750,0.0
0.7250,0.1250,0.0
0.7250,0.1750,0.0
0.7250,0.2250,0.0
0.7250,0.2750,0.0
0.7750,-0.2750,0.0
0.7750,-0.2250,0.0
0.7750,-0.1750,0.0
0.7750,-0.1250,0.0
0.7750,-0.0750,0.0
0.7750,-0.0250,0.0
0.7750,0.0250,0.0
0.7750,0.0750,0.0
0.7750,0.1250,0.0
0.7750,0.1750,0.0
0.7750,0.2250,0.0
0.7750,0.2750,0.0
0.8250,-0.2750,0.0
0.8250,-0.2250,0.0
0.8250,-0.1750,0.0
0.8250,-0.1250,0.0
0.8250,-0.0750,0.0
0.8250,-0.0250,0.0
0.8250,0.0250,0.0
0.8250,0.0750,0.0
0.8250,0.1250,0.0
0.8250,0.1750,0.0
0.8250,0.2250,0.0
0.8250,0.2750,0.0
0.8750,-0.2750,0.0
0.8750,-0.2250,0.0
0.8750,-0.1750,0.0
0.8750,-0.1250,0.0
0.8750,-0.0750,0.0
0.8750,-0.0250,0.0
0.8750,0.0250,0.0
0.8750,0.0750,0.0
0.8750,0.1250,0.0
0.8750,0.1750,0.0
0.8750,0.2250,0.0
0.8750,0.2750,0.0
0.9250,-0.2750,0.0
0.9250,-0.2250,0.0
0.9250,-0.1750,0.0
0.9250,-0.1250,0.0
0.9250,-0.0750,0.0
0.9250,-0.0250,0.0
0.9250,0.0250,0.0
0.9250,0.0750,0.0
0.9250,0.1250,0.0
0.9250,0.1750,0.0
0.9250,0.2250,0.0
0.9250,0.2750,0.0
0.9750,-0.2750,0.0
0.9750,-0.2250,0.0
0.9750,-0.1750,0.0
0.9750,-0.1250,0.0
0.9750,-0.0750,0.0
0.9750,-0.0250,0.0
0.9750,0.0250,0.0
0.9750,0.0750,0.0
0.9750,0.1250,0.0
0.9750,0.1750,0.0
0.9750,0.2250,0.0
0.9750,0.2750,0.0
